time,source,destination,status
106571,38,94,down
106631,94,38,up
106631,94,56,up
106631,94,85,up
106631,94,28,up
106631,94,38,down
106631,94,56,down
106680,7,84,up
106680,7,88,up
106699,28,38,down
106707,88,7,up
106930,28,42,up
106930,28,42,down
106944,94,85,down
106944,94,28,down
106948,42,88,up
106948,42,7,up
106948,42,88,down
107030,85,95,up
107222,56,94,down
107222,56,95,down
107222,56,85,down
107222,56,28,down
107234,95,85,up
107234,95,94,up
107403,14,4,up
107403,14,4,down
107420,7,42,up
107420,7,42,down
107556,95,28,up
107668,85,56,down
107668,85,28,down
108183,61,5,up
108196,95,85,down
108319,85,95,down
108468,28,85,down
108482,56,85,up
108482,56,85,down
108640,85,77,up
108654,26,57,up
108654,26,57,down
108690,42,7,down
108724,57,26,up
108724,57,26,down
108953,85,77,down
108996,96,15,up
108996,96,15,down
109112,7,42,up
109126,56,15,up
109206,95,56,up
109206,95,15,up
109206,95,56,down
109208,15,95,up
109208,15,56,up
109208,15,95,down
109549,95,15,down
109549,95,28,down
109779,56,95,up
109779,56,95,down
109793,61,5,down
109857,28,85,up
109995,85,56,up
109995,85,28,up
109995,85,94,down
109995,85,56,down
110036,28,15,up
110036,28,15,down
110036,28,94,down
110036,28,95,down
110036,28,56,down
110179,88,80,up
110179,88,80,down
110295,42,7,up
110379,7,42,down
110379,7,84,down
110406,56,15,down
110484,15,56,down
110694,7,70,up
110694,7,70,down
110694,7,88,down
110733,70,7,up
110733,70,84,up
110733,70,88,up
110733,70,7,down
110786,56,42,up
110786,56,14,up
110786,56,42,down
110786,56,14,down
110810,88,70,up
110810,88,7,down
110982,80,77,up
110982,80,77,down
111047,70,84,down
111047,70,88,down
111052,28,15,up
111052,28,94,up
111052,28,95,up
111052,28,15,down
111139,15,95,up
111139,15,95,down
111211,94,95,up
111211,94,28,up
111211,94,85,up
111273,42,7,down
111412,70,84,up
111412,70,88,up
111412,70,84,down
111412,70,88,down
111413,26,57,up
111437,88,70,down
111456,15,5,up
111543,95,80,up
111543,95,28,up
111543,95,80,down
111598,57,26,up
111648,85,95,up
111648,85,94,up
111648,85,28,down
111819,28,5,up
111853,14,70,up
111855,96,77,up
111869,28,38,up
111869,28,90,up
111872,94,90,up
111872,94,95,down
111902,95,38,up
111902,95,85,up
111902,95,90,up
111902,95,15,up
111902,95,38,down
111902,95,94,down
111911,57,26,down
111951,42,70,up
111951,42,70,down
111966,80,5,up
111969,85,90,up
111969,85,38,up
111969,85,90,down
111969,85,95,down
112034,26,57,down
112056,28,5,down
112190,94,38,up
112216,95,85,down
112298,80,84,up
112298,80,84,down
112337,90,94,up
112337,90,95,up
112337,90,85,up
112337,90,38,up
112337,90,28,up
112337,90,94,down
112337,90,95,down
112337,90,85,down
112337,90,38,down
112337,90,28,down
112396,15,5,down
112422,28,15,up
